wiresize_metric,wiresize_awg,THW_rating,THHN_rating,conduitsize_metric_pvc,conduitsize_imperial_pvc,conduitsize_metric_rmc,conduitsize_imperial_rmc,branch_AT,entrance_AT
2.0,14,20,25,20,1/2,15,1/2,15,20
3.5,12,25,30,20,1/2,15,1/2,20,30
5.5,10,35,40,20,1/2,15,1/2,30,40
8.0,8,50,55,20,1/2,15,1/2,40,60
14.0,6,65,75,25,3/4,15,1/2,60,75
22.0,4,85,95,32,1,20,3/4,75,100
30.0,2,100,115,32,1,25,1,100,125
38.0,1,115,130,40,1.25,32,1.25,125,150
50.0,1/0,140,150,40,1.25,32,1.25,150,175
60.0,2/0,155,170,50,1.5,32,1.25,175,200
80.0,3/0,190,205,50,1.5,40,1.5,200,225
100.0,4/0,220,240,63,2,40,1.5,225,250
125.0,250,255,285,63,2,50,2,250,275
150.0,300,285,320,63,2,50,2,275,300
175.0,350,305,345,75,2.5,50,2,300,325
200.0,400,325,360,75,2.5,50,2,325,350
250.0,500,375,425,75,2.5,65,2.5,350,375
325.0,650,435,490,90,3,75,3,400,450
375.0,750,470,530,90,3,75,3,450,500
400.0,800,480,535,90,3,75,3,500,600
500.0,1000,530,595,110,4,100,4,600,700
